id,title,description,category,location,image_type,original_path,web_path,thumbnail_path,dimensions,file_size,tags,base_price
4d6b217a453b,"Bixby Bridge, Big Sur, Ca 2","Stunning architecture photography capturing the beauty of Bixby Bridge, Big Sur, Ca 2 in California. This high-quality print brings professional photography into your space with rich colors and sharp detail.",Architecture,California,Main_Images,"/Volumes/LaCie/Etsy/Organized_Products/Architecture/California/MBBBSCA2_Bixby Bridge, Big Sur, CA 2/Main_Images/mbbbsca2bixby_bridge_big_sur_c_main_01_2024.jpg",/images/mbbbsca2bixby_bridge_big_sur_c_main_01_2024_4d6b217a453b.jpg,/images/thumbnails/mbbbsca2bixby_bridge_big_sur_c_main_01_2024_4d6b217a453b_thumb.jpg,[object Object],2555279,"architecture,california,mbbbsca2,bixby,bridge,big,sur,building,structure,architectural",45
85153f49713f,"Bixby Bridge, Big Sur, Ca 1","Stunning architecture photography capturing the beauty of Bixby Bridge, Big Sur, Ca 1 in California. This high-quality print brings professional photography into your space with rich colors and sharp detail.",Architecture,California,Main_Images,"/Volumes/LaCie/Etsy/Organized_Products/Architecture/California/MBBBSCA1_Bixby Bridge, Big Sur, CA 1 /Main_Images/mbbbsca1bixby_bridge_big_sur_c_main_01_2024.jpg",/images/mbbbsca1bixby_bridge_big_sur_c_main_01_2024_85153f49713f.jpg,/images/thumbnails/mbbbsca1bixby_bridge_big_sur_c_main_01_2024_85153f49713f_thumb.jpg,[object Object],5715169,"architecture,california,mbbbsca1,bixby,bridge,big,sur,building,structure,architectural",45
e97b5371536c,"Bixby Bridge, Big Sur, Ca 1","Stunning architecture photography capturing the beauty of Bixby Bridge, Big Sur, Ca 1 in California. This high-quality print brings professional photography into your space with rich colors and sharp detail.",Architecture,California,Main_Images,"/Volumes/LaCie/Etsy/Organized_Products/Architecture/California/MBBBSCA1_Bixby Bridge, Big Sur, CA 1 /Main_Images/mbbbsca1bixby_bridge_big_sur_c_main_02_2024.png",/images/mbbbsca1bixby_bridge_big_sur_c_main_02_2024_e97b5371536c.png,/images/thumbnails/mbbbsca1bixby_bridge_big_sur_c_main_02_2024_e97b5371536c_thumb.jpg,[object Object],11646878,"architecture,california,mbbbsca1,bixby,bridge,big,sur,building,structure,architectural",45
a97b145e612e,"Bixby Bridge, Big Sur, Ca 1","Stunning architecture photography capturing the beauty of Bixby Bridge, Big Sur, Ca 1 in California. This high-quality print brings professional photography into your space with rich colors and sharp detail.",Architecture,California,Main_Images,"/Volumes/LaCie/Etsy/Organized_Products/Architecture/California/MBBBSCA1_Bixby Bridge, Big Sur, CA 1 /Main_Images/mbbbsca1bixby_bridge_big_sur_c_main_03_2024.jpg",/images/mbbbsca1bixby_bridge_big_sur_c_main_03_2024_a97b145e612e.jpg,/images/thumbnails/mbbbsca1bixby_bridge_big_sur_c_main_03_2024_a97b145e612e_thumb.jpg,[object Object],2654054,"architecture,california,mbbbsca1,bixby,bridge,big,sur,building,structure,architectural",45
afb45e5a23b5,Sedona Golf Resort Rainbow 25,Stunning architecture photography capturing the beauty of Sedona Golf Resort Rainbow 25 in Arizona. This high-quality print brings professional photography into your space with rich colors and sharp detail.,Architecture,Arizona,Main_Images,/Volumes/LaCie/Etsy/Organized_Products/Architecture/Arizona/Sedona Golf Resort Rainbow 25/Main_Images/sedona_golf_resort_rainbow_25_main_01_2024.jpg,/images/sedona_golf_resort_rainbow_25_main_01_2024_afb45e5a23b5.jpg,/images/thumbnails/sedona_golf_resort_rainbow_25_main_01_2024_afb45e5a23b5_thumb.jpg,[object Object],3149011,"architecture,arizona,sedona,golf,resort,rainbow,building,structure,architectural",40
43763ca1f5c0,Sedona Golf Resort Long Links Shot 6,Stunning architecture photography capturing the beauty of Sedona Golf Resort Long Links Shot 6 in Arizona. This high-quality print brings professional photography into your space with rich colors and sharp detail.,Architecture,Arizona,Main_Images,/Volumes/LaCie/Etsy/Organized_Products/Architecture/Arizona/Sedona Golf Resort Long Links Shot 6/Main_Images/sedona_golf_resort_long_links__main_01_2024.jpg,/images/sedona_golf_resort_long_links_main_01_2024_43763ca1f5c0.jpg,/images/thumbnails/sedona_golf_resort_long_links_main_01_2024_43763ca1f5c0_thumb.jpg,[object Object],419575,"architecture,arizona,sedona,golf,resort,long,links,building,structure,architectural",40
2c772be20fdc,Sedona Golf Resort Long Links Shot 6,Stunning architecture photography capturing the beauty of Sedona Golf Resort Long Links Shot 6 in Arizona. This high-quality print brings professional photography into your space with rich colors and sharp detail.,Architecture,Arizona,Main_Images,/Volumes/LaCie/Etsy/Organized_Products/Architecture/Arizona/Sedona Golf Resort Long Links Shot 6/Main_Images/sedona_golf_resort_long_links__main_02_2024.jpg,/images/sedona_golf_resort_long_links_main_02_2024_2c772be20fdc.jpg,/images/thumbnails/sedona_golf_resort_long_links_main_02_2024_2c772be20fdc_thumb.jpg,[object Object],5036064,"architecture,arizona,sedona,golf,resort,long,links,building,structure,architectural",40
66144b77d8b4,Sedona Golf Photos,Stunning architecture photography capturing the beauty of Sedona Golf Photos in Arizona. This high-quality print brings professional photography into your space with rich colors and sharp detail.,Architecture,Arizona,Main_Images,/Volumes/LaCie/Etsy/Organized_Products/Architecture/Arizona/Sedona Golf Photos/Main_Images/sedona_golf_photos_main_01_2024.jpg,/images/sedona_golf_photos_main_01_2024_66144b77d8b4.jpg,/images/thumbnails/sedona_golf_photos_main_01_2024_66144b77d8b4_thumb.jpg,[object Object],5152382,"architecture,arizona,sedona,golf,photos,building,structure,architectural",40
730f9aeff8a8,Sedona Golf Photos,Stunning architecture photography capturing the beauty of Sedona Golf Photos in Arizona. This high-quality print brings professional photography into your space with rich colors and sharp detail.,Architecture,Arizona,Main_Images,/Volumes/LaCie/Etsy/Organized_Products/Architecture/Arizona/Sedona Golf Photos/Main_Images/sedona_golf_photos_main_02_2024.jpg,/images/sedona_golf_photos_main_02_2024_730f9aeff8a8.jpg,/images/thumbnails/sedona_golf_photos_main_02_2024_730f9aeff8a8_thumb.jpg,[object Object],5069715,"architecture,arizona,sedona,golf,photos,building,structure,architectural",40
1a82e04ea7db,Sedona Golf Photos,Stunning architecture photography capturing the beauty of Sedona Golf Photos in Arizona. This high-quality print brings professional photography into your space with rich colors and sharp detail.,Architecture,Arizona,Main_Images,/Volumes/LaCie/Etsy/Organized_Products/Architecture/Arizona/Sedona Golf Photos/Main_Images/sedona_golf_photos_main_03_2024.jpg,/images/sedona_golf_photos_main_03_2024_1a82e04ea7db.jpg,/images/thumbnails/sedona_golf_photos_main_03_2024_1a82e04ea7db_thumb.jpg,[object Object],5264749,"architecture,arizona,sedona,golf,photos,building,structure,architectural",40
